Region,Sector,Product_category,Product_long,Product,Flow_category,Flow_long,Flow,End_use
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Iron and steel,IRONSTL,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Mining and quarrying,MINING,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Non-ferrous metals,NONFERR,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Oil products,Other oil products,ONONSPEC,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,"Paper, pulp, and print",PAPERPRO,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Textile and leather,TEXTILES,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Energy industry own use and Losses,Energy industry own use,TOTENGY,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Non-energy use industry/transformation/energy,NEINTREN,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Non-energy use,NONENUSE,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Non-energy use in other,NEOTHER,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Non-energy use in industry,NEIND,
albania,Industrial,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,Chemical and petrochemical,CHEMICAL,
albania,Industrial,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,Construction,CONSTRUC,
albania,Industrial,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,Fishing,FISHING,
albania,Industrial,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,"Paper, pulp, and print",PAPERPRO,
albania,Industrial,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,Textile and leather,TEXTILES,
albania,Industrial,Oil products,Other kerosene,OTHKERO,Final consumption,Agriculture/forestry,AGRICULT,
albania,Industrial,Oil products,Other kerosene,OTHKERO,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,White spirit & industrial spirit (SBP),WHITESP,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,White spirit & industrial spirit (SBP),WHITESP,Final consumption,Non-energy use chemical/petrochemical,NECHEM,
albania,Industrial,Oil products,White spirit & industrial spirit (SBP),WHITESP,Final consumption,Non-energy use in industry,NEIND,
